Company,TypeName,Inches,ScreenResolution,Ram,OpSys,Weight,Touchscreen,IPS_panel,Cpu_brand,HDD,SSD,Gpu_brand,PRICE
Lenovo,Notebook,13.3,1920x1080,8,Windows,1.1,0,1,Intel Core i5,0,256,Intel,53226.72
MSI,Gaming,17.3,1920x1080,16,Windows,2.43,0,1,Intel Core i7,1000,256,Nvidia,103842.1872
Acer,Gaming,15.6,1920x1080,8,Windows,2.7,0,1,Intel Core i7,1000,128,Nvidia,67132.8
Lenovo,Notebook,14.0,1366x768,4,Windows,1.7,0,0,Intel Core i5,0,0,Intel,53386.56
Lenovo,Notebook,15.6,1366x768,4,Others/No OS/Linux,1.9,0,0,Intel Core i3,1000,0,Intel,18061.92
Lenovo,Notebook,15.6,1920x1080,8,Windows,2.6,0,1,Intel Core i7,1000,0,Nvidia,47898.72
Lenovo,Ultrabook,14.0,1920x1080,8,Windows,1.7,0,0,Intel Core i7,0,256,Intel,79866.72
Apple,Ultrabook,15.4,2880x1800,16,Mac,1.83,0,1,Intel Core i7,0,512,AMD,135195.33599999998
Dell,Ultrabook,13.3,3200x1800,8,Windows,1.23,1,0,Intel Core i7,0,256,Intel,73473.12
Lenovo,Notebook,15.6,1366x768,4,Others/No OS/Linux,1.9,0,0,Intel Core i3,500,0,Intel,23976.0
Acer,Notebook,15.6,1366x768,4,Others/No OS/Linux,2.4,0,0,Other Intel Processor,500,0,Intel,15397.92
Dell,Notebook,15.6,3840x2160,8,Windows,2.06,1,0,Intel Core i5,0,256,Nvidia,93186.72
Dell,Notebook,15.6,1366x768,4,Others/No OS/Linux,2.25,0,0,Intel Core i3,1000,0,AMD,24808.2336
Toshiba,Notebook,15.6,1920x1080,8,Windows,2.0,0,1,Intel Core i7,0,256,Intel,73952.64
Lenovo,Netbook,11.6,1366x768,4,Windows,1.59,0,1,Other Intel Processor,0,128,Intel,29463.84
HP,Workstation,17.3,1600x900,8,Windows,3.14,0,0,Intel Core i5,500,0,Nvidia,99153.5472
Lenovo,Notebook,14.0,1920x1080,8,Windows,1.75,0,1,Intel Core i5,0,256,Intel,55890.72
Asus,2 in 1 Convertible,11.6,1366x768,2,Windows,1.1,1,0,Other Intel Processor,0,0,Intel,14652.0
Dell,Ultrabook,13.3,3200x1800,16,Windows,1.2,1,0,Intel Core i7,0,1000,Intel,120093.12
Acer,Notebook,11.6,1366x768,4,Windows,1.4,0,0,Other Intel Processor,0,0,Intel,25840.8
Dell,Notebook,15.6,1366x768,4,Others/No OS/Linux,2.25,0,0,Intel Core i3,1000,0,Intel,19127.52
MSI,Gaming,15.6,1920x1080,8,Windows,2.4,0,0,Intel Core i5,0,256,Nvidia,63882.72
Acer,Notebook,15.6,1366x768,4,Windows,2.1,0,0,AMD Processor,500,0,AMD,21312.0
HP,Notebook,15.6,1920x1080,8,Windows,1.91,0,0,Intel Core i7,0,256,AMD,38308.32
Dell,Gaming,17.3,2560x1440,16,Windows,4.42,0,1,Intel Core i7,1000,256,Nvidia,149130.72
Acer,Notebook,14.0,1366x768,2,Others/No OS/Linux,1.68,0,0,Other Intel Processor,0,0,Intel,17582.399999999998
